title,country_netflix,date_added_netflix,country_hulu,date_added_hulu,country_disney,date_added_disney,country_amazon,date_added_amazon,director,cast,release_year,rating,duration,listed_in,type
Midnight Mass,,"September 24, 2021",United States,"December 27, 2019",,,,,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",TV Show
The Starling,United States,"September 24, 2021","United States, Canada, Mexico","May 16, 2018",,,,,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",2021,PG-13,104 min,"Comedies, Dramas",Movie
Dear White People,United States,"September 22, 2021",,"July 1, 2021",,,,,,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",2021,TV-MA,4 Seasons,"TV Comedies, TV Dramas",TV Show
Grown Ups,United States,"September 20, 2021",,"September 20, 2021",,,,,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",2010,PG-13,103 min,Comedies,Movie
He-Man and the Masters of the Universe,United States,"September 16, 2021",,"December 21, 2018",,,,,,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",2021,TV-Y7,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",TV Show
Saved by the Bell,United States,"September 15, 2021",United States,"January 17, 2016",,,,,,"Mark-Paul Gosselaar, Tiffani Thiessen, Mario Lopez, Lark Voorhies, Elizabeth Berkley, Dustin Diamond, Dennis Haskins",1994,TV-PG,9 Seasons,"Kids' TV, TV Comedies",TV Show
Prey,,"September 10, 2021",United Kingdom,"May 1, 2017",,,,,Thomas Sieben,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach",2021,TV-MA,87 min,"International Movies, Thrillers",Movie
Tayo the Little Bus,South Korea,"September 6, 2021",South Korea,"October 13, 2020",,,,,,"Robyn Slade, Kami Desilets",2016,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",TV Show
Pororo - The Little Penguin,South Korea,"September 2, 2021",,"September 12, 2020",,,,,,,2013,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows",TV Show
Initial D,"China, Hong Kong","September 1, 2021",Japan,"July 21, 2010",,,,,"Andrew Lau Wai-keung, Alan Mak","Jay Chou, Anne Suzuki, Edison Chen, Anthony Wong Chau-sang, Shawn Yue, Chapman To, Jordan Chan, Kenny Bee",2005,TV-14,109 min,"Action & Adventure, International Movies",Movie
Once Upon a Time in America,"Italy, United States","September 1, 2021",United States,"December 15, 2020",,,,,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld, Burt Young, Joe Pesci, Danny Aiello, William Forsythe, James Hayden",1984,R,229 min,"Classic Movies, Dramas",Movie
Tears of the Sun,United States,"September 1, 2021",,"September 1, 2021",,,,,Antoine Fuqua,"Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker, Johnny Messner, Nick Chinlund, Charles Ingram, Paul Francis, Chad Smith, Tom Skerritt, Malick Bowens, Awaovieyi Agie",2003,R,121 min,"Action & Adventure, Dramas",Movie
The Golden Child,United States,"September 1, 2021",United States,"February 13, 2017",,,,,Michael Ritchie,"Eddie Murphy, J.L. Reate, Charles Dance, Charlotte Lewis, Victor Wong, Randall Tex Cobb, James Hong, Shakti Chen, Tau Logo, Tiger Chung Lee",1986,PG-13,94 min,"Action & Adventure, Comedies",Movie
