Country,Release_Year,Genres,Category,Content_Count,Young_Population_Percentage
argentina,2016,dramas,movie,1,24.97784996032715
argentina,2016,comedies,movie,1,24.97784996032715
argentina,2016,sports movies,movie,1,24.97784996032715
argentina,2016,international movies,movie,3,24.97784996032715
argentina,2016,action  adventure,movie,1,24.97784996032715
argentina,2016,horror movies,movie,1,24.97784996032715
argentina,2017,romantic movies,movie,3,24.81924057006836
argentina,2017,dramas,movie,9,24.81924057006836
argentina,2017,documentaries,movie,1,24.81924057006836
argentina,2017,independent movies,movie,1,24.81924057006836
argentina,2017,music  musicals,movie,1,24.81924057006836
argentina,2017,horror movies,movie,2,24.81924057006836
argentina,2017,thrillers,movie,2,24.81924057006836
argentina,2017,children  family movies,movie,1,24.81924057006836
argentina,2017,comedies,movie,5,24.81924057006836
argentina,2017,international movies,movie,13,24.81924057006836
argentina,2017,international tv shows,tv show,1,24.81924057006836
argentina,2017,crime tv shows,tv show,1,24.81924057006836
argentina,2017,spanishlanguage tv shows,tv show,1,24.81924057006836
argentina,2018,international movies,movie,17,24.66253089904785
argentina,2018,action  adventure,movie,1,24.66253089904785
argentina,2018,movies,movie,1,24.66253089904785
argentina,2018,comedies,movie,3,24.66253089904785
argentina,2018,standup comedy,movie,6,24.66253089904785
argentina,2018,thrillers,movie,3,24.66253089904785
argentina,2018,dramas,movie,11,24.66253089904785
argentina,2018,documentaries,movie,3,24.66253089904785
argentina,2018,reality,movie,1,24.66253089904785
argentina,2018,scifi  fantasy,movie,1,24.66253089904785
argentina,2018,sports movies,movie,1,24.66253089904785
argentina,2018,cult movies,movie,1,24.66253089904785
argentina,2018,independent movies,movie,3,24.66253089904785
argentina,2018,international tv shows,tv show,2,24.66253089904785
argentina,2018,spanishlanguage tv shows,tv show,3,24.66253089904785
argentina,2018,kids tv,tv show,1,24.66253089904785
argentina,2018,tv comedies,tv show,1,24.66253089904785
argentina,2018,tv dramas,tv show,1,24.66253089904785
argentina,2019,action  adventure,movie,1,24.505834579467773
argentina,2019,documentaries,movie,2,24.505834579467773
argentina,2019,independent movies,movie,3,24.505834579467773
argentina,2019,international movies,movie,8,24.505834579467773
argentina,2019,dramas,movie,4,24.505834579467773
argentina,2019,sports movies,movie,1,24.505834579467773
argentina,2019,comedies,movie,1,24.505834579467773
argentina,2019,children  family movies,movie,1,24.505834579467773
argentina,2019,music  musicals,movie,2,24.505834579467773
argentina,2019,standup comedy,movie,1,24.505834579467773
argentina,2019,teen tv shows,tv show,1,24.505834579467773
argentina,2019,tv dramas,tv show,1,24.505834579467773
argentina,2019,kids tv,tv show,2,24.505834579467773
argentina,2019,international tv shows,tv show,5,24.505834579467773
argentina,2019,spanishlanguage tv shows,tv show,8,24.505834579467773
argentina,2019,tv horror,tv show,1,24.505834579467773
argentina,2019,docuseries,tv show,1,24.505834579467773
argentina,2019,crime tv shows,tv show,3,24.505834579467773
argentina,2020,sports movies,movie,4,24.346525192260742
argentina,2020,lgbtq movies,movie,1,24.346525192260742
argentina,2020,adventure,movie,1,24.346525192260742
argentina,2020,international movies,movie,11,24.346525192260742
argentina,2020,documentaries,movie,3,24.346525192260742
argentina,2020,dramas,movie,7,24.346525192260742
argentina,2020,music  musicals,movie,2,24.346525192260742
argentina,2020,thrillers,movie,1,24.346525192260742
argentina,2020,comedies,movie,3,24.346525192260742
argentina,2020,thriller,movie,1,24.346525192260742
